code_cim_10_cma;num_liste_exclusion_de_la_cma
A000;525
A001;525
A009;525
A010;525
A011;525
A012;525
A013;525
A014;525
A020;525
A021;557
A022;525
A028;525
A029;525
A030;525
A031;525
A032;525
A033;525
A038;525
A039;525
A040;360
A041;360
A042;360
A043;223
A044;67
A045;67
A046;360
A047;164
A051;180
A052;525
A060;160
A061;160
A062;160
A063;160
A064;403
A065;323
A066;871
A067;914
A068;525
A069;679
A070;525
A071;525
A072;525
A073;525
A078;525
A079;525
A080;126
A081;126
A082;126
A083;126
A085;126
A090;85
A150;909
A151;909
A152;909
A153;909
A154;909
A155;909
A156;909
A157;909
A158;909
A159;909
A160;909
A161;909
A162;909
A163;909
A164;909
A165;909
A167;909
A168;909
A169;909
A170;608
A171;608
A178;608
A179;608
A180;10
A181;804
A182;825
A183;552
A184;567
A185;973
A186;990
A187;445
A188;297
A190;309
A191;309
A192;309
A198;309
A199;309
A203;791
A217;502
A227;401
A241;401
A250;502
A251;502
A259;502
A260;967
A267;401
A268;502
A269;967
A270;606
A278;502
A279;606
A300;81
A301;81
A302;81
A303;81
A304;81
A305;81
A308;81
A309;81
A310;412
A311;968
A318;299
A319;1016
A320;581
A321;277
A327;401
A328;1040
A329;513
A33;1040
A34;1040
A35;1040
A370;196
A371;196
A378;196
A379;196
A390;451
A391;86
A392;998
A393;998
A394;998
A395;998
A398;315
A399;592
A400;271
A401;271
A402;271
A403;271
A408;271
A409;271
A410;802
A411;802
A412;802
A413;802
A414;902
A415;902
A418;902
A419;396
A427;911
A430;142
A431;581
A438;1040
A439;155
A440;1040
A441;581
A448;1040
A449;581
A46;283
A480;1027
A481;142
A482;1040
A483;264
A484;1040
A488;1040
A490;343
A491;524
A492;157
A493;613
A498;800
A500;272
A501;272
A502;272
A503;545
A504;1
A505;272
A506;272
A507;444
A509;444
A510;429
A511;36
A512;272
A513;242
A514;272
A515;272
A519;169
A520;652
A521;952
A522;140
A523;952
A527;652
A528;652
A529;952
A530;863
A539;863
A540;1012
A541;1012
A542;1012
A544;885
A560;20
A561;20
A562;20
A590;20
A598;177
A599;20
A600;211
A601;465
A609;291
A750;610
A751;610
A752;610
A753;610
A759;610
A770;610
A771;610
A772;610
A773;610
A778;610
A779;610
A78;610
A790;610
A791;610
A798;610
A799;1033
A810;143
A811;807
A812;807
A818;807
A819;143
A820;882
A821;882
A829;882
A830;227
A831;227
A832;227
A833;227
A834;227
A835;227
A836;227
A838;227
A839;227
A840;227
A841;227
A848;227
A849;227
A850;227
A851;227
A852;227
A858;227
A86;112
A870;1026
A871;1026
A872;1026
A878;1026
A879;1026
A920;437
A925;437
A970;437
A971;437
A972;437
A979;437
B000;619
B001;619
B002;461
B003;805
B004;258
B005;472
B007;629
B008;675
B009;394
B010;782
B011;922
