num_liste_exclusion_de_la_cma;code_rghm_excluant_la_liste_de_cma
1;01C03
1;01M18
1;26C02
1;26M02
2;01C03
2;01M19
2;26C02
2;26M02
3;01C03
3;26C02
3;26M02
4;01C11
5;02C10
6;02C10
6;26C02
6;26M02
7;05C14
8;05C14
8;05K05
8;05M04
8;27C05
9;05C14
9;27C05
10;06C03
10;06C04
10;06C23
11;06C08
12;06C16
13;06C20
14;07C06
15;07C06
15;07C09
16;07C13
16;27C02
17;07C13
17;27C03
18;08C29
19;08C47
19;08C49
19;08C51
19;08C53
20;08C47
20;08C49
20;08C51
20;08C53
20;08C55
20;26C02
20;26M02
21;08C47
21;08C49
21;08C51
21;08C53
21;08M37
21;26C02
21;26M02
22;08C47
22;08C49
22;08C51
22;08C53
22;26C02
22;26M02
23;09C18
23;09C19
23;09C20
24;09C23
24;09C24
24;09C25
25;09C27
26;10C11
27;11C02
28;11M15
29;11M15
29;27C06
30;12C05
30;12C09
31;12C05
31;12C09
31;12C11
32;13C05
32;13C11
32;13C14
33;22Z02
34;27C02
35;27C03
36;27C03
36;27C04
37;27C04
38;27C05
39;27C05
39;01C03
39;01C04
39;01C05
39;01C06
39;01C08
39;01C09
39;01C10
39;01C11
39;01C12
39;01C14
39;01C15
39;02C02
39;02C03
39;02C05
39;02C06
39;02C07
39;02C08
39;02C09
39;02C10
39;02C11
39;02C12
39;02C13
39;03C05
39;03C06
39;03C07
39;03C09
39;03C10
39;03C11
39;03C12
39;03C13
39;03C14
39;03C15
39;03C16
39;03C17
39;03C18
39;03C19
39;03C20
39;03C21
39;03C24
39;03C25
39;03C26
39;03C27
39;03C28
39;03C29
39;03C30
39;04C02
39;04C03
39;04C04
39;05C02
39;05C03
39;05C04
39;05C05
39;05C06
39;05C07
39;05C08
39;05C09
39;05C10
39;05C11
39;05C12
39;05C13
39;05C14
39;05C15
39;05C17
39;05C18
39;05C19
39;05C20
39;05C21
39;05C22
39;06C03
39;06C04
39;06C05
39;06C07
39;06C08
39;06C09
39;06C10
39;06C12
39;06C13
39;06C14
39;06C15
39;06C16
39;06C19
39;06C20
39;06C21
39;06C22
39;06C23
39;06C24
39;06C25
39;07C06
39;07C07
39;07C08
39;07C09
39;07C10
39;07C11
39;07C12
39;07C13
39;07C14
39;08C02
39;08C04
39;08C06
39;08C12
39;08C13
39;08C14
39;08C20
39;08C21
39;08C22
39;08C24
39;08C25
39;08C27
39;08C28
39;08C29
39;08C31
39;08C32
39;08C33
39;08C34
39;08C35
39;08C36
39;08C37
39;08C38
39;08C39
39;08C40
39;08C42
39;08C43
39;08C44
39;08C45
39;08C46
39;08C47
39;08C48
39;08C49
39;08C50
39;08C51
39;08C52
39;08C53
39;08C54
39;08C55
39;08C57
39;08C58
39;08C59
39;08C60
39;08C61
39;08C62
39;09C08
39;09C09
39;09C13
39;09C14
39;09C16
39;09C17
39;09C18
39;09C19
39;09C20
39;09C21
39;09C22
39;09C23
39;09C24
39;09C25
39;09C26
39;09C27
39;09C28
39;09C29
39;09C30
39;09C31
39;09C32
39;09C33
39;09C34
39;10C02
39;10C03
39;10C05
39;10C07
39;10C08
39;10C09
39;10C10
39;10C11
39;10C12
39;10C13
39;11C02
39;11C03
39;11C04
39;11C06
39;11C07
39;11C08
39;11C09
39;11C10
39;11C11
39;11C12
39;11C13
39;12C03
39;12C04
39;12C05
39;12C06
39;12C07
39;12C08
39;12C09
39;12C10
39;12C11
39;12C12
39;12C13
39;13C03
39;13C04
39;13C05
39;13C06
39;13C07
39;13C08
39;13C09
39;13C10
39;13C11
39;13C12
39;13C13
39;13C14
39;13C15
39;13C16
39;13C17
39;13C18
39;13C19
39;13C20
39;14C03
39;14C04
39;14C05
39;14C06
39;14C07
39;14C08
39;14C09
39;14C10
39;15C02
39;15C03
39;15C04
39;15C05
39;15C06
39;16C02
39;16C03
39;17C06
39;17C07
39;17C08
39;18C02
39;19C02
39;21C04
39;21C05
39;21C06
39;22C02
39;22C03
39;23C02
39;25C02
39;26C02
39;27C02
39;27C03
39;27C04
39;27C06
39;27C07
40;27C06
41;27Z02
42;26C02
42;26M02
43;01C03
43;01C04
43;01C05
43;01C06
43;01C08
43;01C09
43;01C10
43;01C11
43;01C12
43;01C14
43;01C15
43;02C02
43;02C03
43;02C05
43;02C06
43;02C07
43;02C08
43;02C09
43;02C10
43;02C11
43;02C12
43;02C13
43;03C05
43;03C06
43;03C07
43;03C09
43;03C10
43;03C11
43;03C12
43;03C13
43;03C14
43;03C15
43;03C16
43;03C17
43;03C18
43;03C19
43;03C20
43;03C21
43;03C24
43;03C25
43;03C26
43;03C27
43;03C28
43;03C29
43;03C30
43;04C02
43;04C03
43;04C04
43;05C02
43;05C03
43;05C04
43;05C05
43;05C06
43;05C07
